(Battisini, Cornelia)
(Cornelia, Baldo del Ubaldi)
(Baldo del Ubaldi, Valle Aurelia)
(Valle Aurelia, Cipro)
(Cipro, Ottaviano)
(Ottaviano, Lepanto)
(Lepanto, Barberini Fontana di Trevi)
(Barberini Fontana di Trevi, Spagna)
(Spagna, Barberini)
(Barberini, Repubblica)
(Repubblica, Termini)
(Termini, Vittorio Emanuele)
(Vittorio Emanuele, Manzoni)
(Manzoni, San Giovanni)
(San Giovanni, Re di Roma)
(Re di Roma, Ponte Lungo)
(Ponte Lungo, Furio Camillo)
(Furio Camillo, Colli Albani)
(Colli Albani, Arco di Travertino)
(Arco di Travertino, Porta Furba)
(Porta Furba, Numidio Quadrato)
(Numidio Quadrato, Lucio Sestio)
(Lucio Sestio, Giulio Agricola)
(Giulio Agricola, Subaugusta)
(Subaugusta, Cinecittà)
(Cinecittà, Anagnina)
(Clodio Mazzini, Ottaviano)
(Ottaviano, Risorgimento)
(Risorgimento, San Pietro)
(San Pietro, Chiesa Nuova)
(Chiesa Nuova, Venezia)
(Venezia, Colosseo)
(Colosseo, Amba Aradam)
(Amba Aradam, San Giovanni)
(San Giovanni, Lodi)
(Lodi, Pigneto)
(Pigneto, Malatesta)
(Malatesta, Teano)
(Teano, Gardenie)
(Gardenie, Mirti)
(Mirti, Parco di Centocelle)
(Parco di Centocelle, Torre Spaccata)
(Torre Spaccata, Giglioli)
(Giglioli, Giardinetti)
(Gardinetti, Torre Angela)
(Torre Angela, Torre Gaia)
(Torre Gaia, Grotte Celoni)
(Grotte Celoni, Fontana Candida)
(Fontana Candida, Borghesiana)
(Borghesiana, Bolognetta)
(Bolognetta, Finocchio)
(Finocchio, Graniti)
(Graniti, Pantano)
(Rebibbia, Ponte Mammolo)
(Ponte Mammolo, Santa Maria del Soccorso)
(Santa Maria del Soccorso, Pietralata)
(Pietralata, Monti Tiburtini)
(Monti Tiburtini, Quintilliani)
(Quintilliani, Tiburtina)
(Tiburtina, Policlinico)
(Policlinico, Castro Pretorio)
(Castro Pretorio, Termini)
(Termini, Cavour)
(Cavour, Colosseo)
(Colosseo, Circo Massimo)
(Circo Massimo, Piramide)
(Piramide, Garbatella)
(Garbatella, San Paolo Basilica)
(San Paolo Basilica, Marconi)
(Marconi, EUR Magliana)
(EUR Magliana, EUR Palasport)
(EUR Palasport, EUR Fermi)
(EUR Fermi, Laurentina)
